x,pixel space,Mixing_depth_(m)
0.0,180.75,106.95187165775401
1.0,180.75,106.95187165775401
2.0,180.75,106.95187165775401
3.0,180.8,106.09625668449179
4.0,180.8,106.09625668449179
5.0,181.5,94.11764705882352
6.0,181.5,94.11764705882352
7.0,181.5,94.11764705882352
8.0,180.8,106.09625668449179
9.0,180.75,106.95187165775401
10.0,180.75,106.95187165775401
11.0,180.75,106.95187165775401
12.0,180.0,119.78609625668449
13.0,178.125,151.8716577540107
14.0,175.91666666666666,189.66131907308394
15.0,173.92857142857142,223.6822001527886
16.0,168.5,316.5775401069519
17.0,165.0,376.4705882352941
18.0,162.0,427.80748663101605
19.0,159.5,470.5882352941177
20.0,154.5,556.1497326203208
21.0,152.0,598.9304812834224
22.0,150.5,624.5989304812834
23.0,142.5,761.4973262032086
24.0,137.27272727272728,850.9479824987845
25.0,135.5,881.283422459893
26.0,129.54545454545453,983.1793874574626
27.0,125.5,1052.4064171122993
28.0,122.5,1103.7433155080214
29.0,118.25,1176.4705882352941
30.0,114.5,1240.6417112299464
31.0,113.0,1266.3101604278077
32.0,106.8,1372.4064171122996
39.0,94.5,1582.8877005347592
40.0,94.0,1591.4438502673797
41.0,98.0,1522.9946524064171
42.0,98.0,1522.9946524064171
43.0,107.86363636363636,1354.2051531356344
44.0,130.72222222222223,963.0421865715982
45.0,136.7037037037037,860.6852842146961
46.0,146.625,690.9090909090909
47.0,162.16216216216216,425.03251915016625
48.0,165.19354838709677,373.1585302742799
49.0,171.31578947368422,268.3929074021952
50.0,177.85714285714286,156.4553093964858
51.0,179.2,133.4759358288772
52.0,180.0,119.78609625668449
53.0,180.0,119.78609625668449
54.0,180.0,119.78609625668449
55.0,179.2,133.4759358288772
56.0,179.2,133.4759358288772
57.0,180.0,119.78609625668449
58.0,180.8,106.09625668449179
59.0,180.8,106.09625668449179
60.0,181.6,92.40641711229956
61.0,182.4,78.71657754010685
62.0,182.4,78.71657754010685
63.0,183.2,65.02673796791464
64.0,183.2,65.02673796791464
65.0,183.2,65.02673796791464
66.0,183.75,55.61497326203209
67.0,183.75,55.61497326203209
68.0,183.75,55.61497326203209
69.0,184.0,51.33689839572193
70.0,183.5,59.893048128342244
71.0,183.0,68.44919786096256
72.0,181.83333333333334,88.41354723707649
73.0,180.42857142857142,112.45225362872442
74.0,179.33333333333334,131.19429590017808
75.0,178.5,145.45454545454547
76.0,176.375,181.8181818181818
77.0,172.25,252.40641711229947
78.0,167.5,333.6898395721925
79.0,165.5,367.9144385026738
80.0,161.5,436.3636363636363
81.0,153.625,571.1229946524064
82.0,146.0,701.6042780748662
83.0,140.0,804.2780748663101
84.0,134.0,906.951871657754
85.0,134.0,906.951871657754
88.0,124.0,1078.0748663101604
89.0,123.0,1095.187165775401
90.0,120.5,1137.9679144385027
91.0,119.0,1163.6363636363637
92.0,119.0,1163.6363636363637
93.0,119.5,1155.0802139037432
94.0,120.5,1137.9679144385027
95.0,121.5,1120.8556149732622
96.0,122.0,1112.2994652406417
97.0,123.0,1095.187165775401
98.0,127.0,1026.7379679144385
99.0,127.5,1018.1818181818181
100.0,127.5,1018.1818181818181
101.0,151.5,607.4866310160428
102.0,155.0,547.5935828877004
103.0,157.5,504.81283422459893
104.0,167.22222222222223,338.44325609031483
105.0,170.8,277.2192513368982
106.0,174.46153846153845,214.56190867955587
107.0,179.2,133.4759358288772
108.0,180.0,119.78609625668449
109.0,180.0,119.78609625668449
110.0,180.75,106.95187165775401
111.0,180.75,106.95187165775401
