x,NO₂
60.0,171.0
61.0,169.0
62.0,169.0
63.0,172.5
64.0,174.0
65.0,170.5
71.0,199.5
72.0,201.5
73.0,199.5
74.0,196.0
75.0,191.5
78.0,172.25
79.0,160.0
82.0,166.0
83.0,168.5
84.0,171.5
85.0,173.5
86.0,174.5
87.0,173.5
88.0,170.0
89.0,166.5
101.0,206.0
102.0,205.0
104.0,197.5
105.0,194.5
106.0,188.5
109.0,188.0
110.0,191.0
111.0,194.0
112.0,193.5
113.0,187.5
114.0,183.5
118.0,169.5
119.0,174.0
120.0,180.5
121.0,181.5
125.0,181.5
126.0,177.0
127.0,176.0
131.0,198.0
132.0,198.5
137.0,191.5
139.0,206.5
140.0,207.0
143.0,199.0
144.0,192.5
145.0,189.5
147.0,190.0
150.0,205.0
151.0,202.0
154.0,145.5
157.0,156.5
158.0,163.0
159.0,169.5
160.0,178.0
161.0,182.0
162.0,184.5
163.0,184.0
164.0,182.0
165.0,175.5
166.0,171.5
170.0,193.0
171.0,196.5
172.0,201.0
175.0,176.0
176.0,177.0
177.0,174.5
178.0,173.5
179.0,177.0
180.0,180.5
181.0,185.5
182.0,187.5
183.0,183.5
184.0,178.0
185.0,173.5
186.0,172.5
187.0,176.5
188.0,179.0
189.0,181.5
190.0,180.5
191.0,178.5
192.0,176.0
193.0,170.0
194.0,168.0
195.0,169.0
196.0,172.5
197.0,177.0
198.0,181.5
199.0,185.5
200.0,188.0
201.0,187.5
202.0,186.5
203.0,186.5
204.0,187.0
205.0,188.0
208.0,206.5
209.0,210.0
210.0,206.5
213.0,171.0
214.0,164.5
215.0,164.5
216.0,166.0
217.0,170.5
218.0,175.0
219.0,178.5
222.0,182.5
223.0,181.5
227.0,214.0
228.0,218.5
229.0,217.0
230.0,213.0
231.0,207.0
233.0,175.0
234.0,176.5
235.0,177.5
236.0,178.0
237.0,178.5
239.0,189.0
241.0,185.0
242.0,180.0
243.0,175.5
246.0,210.5
247.0,218.5
248.0,221.0
249.0,216.0
250.0,208.5
253.0,164.5
254.0,168.0
255.0,173.5
256.0,176.5
257.0,171.0
258.0,167.0
259.0,166.0
260.0,164.5
261.0,161.5
262.0,158.5
263.0,159.0
264.0,167.0
265.0,171.75
266.0,167.0
267.0,153.5
268.0,143.5
269.0,130.0
270.0,122.0
271.0,122.0
272.0,127.5
273.0,132.0
274.0,147.0
275.0,151.0
276.0,159.5
277.0,165.5
278.0,171.0
279.0,173.0
280.0,172.5
281.0,170.5
282.0,166.0
286.0,199.0
287.0,200.5
288.0,195.5
291.0,152.0
293.0,157.5
294.0,160.0
295.0,165.5
296.0,171.0
297.0,175.0
298.0,174.5
299.0,172.5
300.0,168.5
301.0,165.5
302.0,159.0
303.0,155.0
304.0,151.5
305.0,155.0
306.0,156.0
307.0,156.0
308.0,156.0
311.0,189.0
312.0,193.0
313.0,198.5
314.0,198.5
315.0,196.5
316.0,193.0
317.0,191.0
318.0,190.0
319.0,188.5
320.0,185.0
324.0,210.5
325.0,217.0
326.0,217.5
327.0,212.5
330.0,151.0
331.0,150.0
334.0,166.5
335.0,168.5
336.0,170.5
337.0,173.0
338.0,173.5
339.0,173.0
343.0,204.5
344.0,214.0
345.0,217.5
346.0,218.0
347.0,213.0
348.0,205.5
353.0,167.5
354.0,172.5
355.0,177.0
356.0,181.0
357.0,181.5
358.0,179.0
359.0,177.0
362.0,208.5
363.0,213.0
364.0,218.0
365.0,219.0
366.0,212.0
367.0,208.5
371.0,155.5
372.0,161.0
373.0,166.0
374.0,172.0
375.0,176.0
376.0,178.5
377.0,178.5
378.0,176.0
379.0,174.5
382.0,204.0
383.0,208.0
384.0,216.0
385.0,216.5
386.0,210.0
387.0,198.5
390.0,177.0
391.0,183.5
392.0,188.0
393.0,188.5
394.0,188.5
395.0,189.5
396.0,188.0
397.0,185.0
398.0,182.5
401.0,208.0
402.0,209.5
403.0,217.0
404.0,219.5
405.0,218.0
406.0,211.5
407.0,206.0
408.0,205.0
409.0,205.0
410.0,205.5
411.0,208.5
412.0,212.0
413.0,214.5
414.0,215.0
417.0,190.5
420.0,209.5
421.0,219.0
422.0,226.5
423.0,228.5
424.0,226.0
425.0,217.0
426.0,207.0
427.0,200.0
429.0,176.5
430.0,180.0
431.0,184.0
432.0,188.5
433.0,193.0
434.0,198.0
435.0,198.0
436.0,196.0
437.0,194.0
439.0,211.5
440.0,213.0
441.0,218.0
442.0,215.6
443.0,215.23529411764707
444.0,216.4
445.0,215.0
446.0,213.0
447.0,212.0
448.0,209.5
449.0,209.5
450.0,212.0
451.0,214.0
452.0,216.0
453.0,221.0
455.0,212.0
458.0,221.0
459.0,221.0
460.0,226.5
461.0,229.5
462.0,232.5
463.0,232.0
464.0,228.5
465.0,221.0
466.0,212.5
467.0,206.5
468.0,207.0
469.0,210.5
470.0,216.5
471.0,220.0
472.0,222.5
473.0,223.5
474.0,223.5
475.0,223.0
476.0,225.0
477.0,228.5
478.0,233.5
479.0,235.5
480.0,236.5
481.0,236.5
482.0,233.5
483.0,230.5
484.0,226.0
485.0,223.5
486.0,219.5
487.0,218.5
488.0,218.5
489.0,220.0
490.0,221.5
491.0,223.5
492.0,225.0
493.0,227.0
497.0,225.5
498.0,228.5
499.0,232.0
500.0,234.5
501.0,234.5
502.0,232.0
503.0,225.0
504.0,220.0
505.0,220.0
506.0,222.0
507.0,224.0
508.0,223.5
509.0,224.0
510.0,227.5
511.0,231.0
512.0,233.0
513.0,233.0
514.0,231.5
515.0,230.0
516.0,229.0
517.0,230.0
518.0,232.5
519.0,234.0
520.0,233.5
521.0,233.0
522.0,230.5
523.0,226.5
524.0,223.0
525.0,219.5
526.0,219.5
527.0,219.5
528.0,221.0
529.0,223.5
530.0,227.0
531.0,228.5
532.0,227.5
533.0,224.0
534.0,223.0
535.0,224.5
536.0,229.5
537.0,234.0
538.0,236.0
539.0,236.0
540.0,235.0
541.0,232.5
542.0,229.5
543.0,210.9090909090909
546.0,191.0
547.0,191.5
549.0,217.5
550.0,220.0
551.0,220.5
552.0,219.0
553.0,215.5
554.0,214.5
555.0,218.0
556.0,224.5
557.0,229.5
558.0,233.5
559.0,233.0
560.0,232.0
561.0,229.5
562.0,226.5
563.0,222.5
564.0,221.0
565.0,221.0
566.0,222.5
567.0,224.0
568.0,227.5
569.0,228.0
570.0,227.0
571.0,223.0
572.0,218.5
574.0,216.0
575.0,219.5
576.0,226.0
577.0,229.5
578.0,233.0
579.0,232.0
580.0,229.0
581.0,225.5
582.0,220.5
583.0,209.6
584.0,204.5
585.0,205.5
586.0,209.71428571428572
587.0,215.5
588.0,220.0
589.0,222.5
590.0,221.5
594.0,218.5
595.0,223.0
596.0,227.5
597.0,228.5
598.0,228.0
599.0,226.0
600.0,223.0
601.0,211.77777777777777
604.0,179.5
605.0,181.0
606.0,186.5
607.0,191.5
608.0,192.5
609.0,190.0
615.0,217.5
616.0,223.0
617.0,226.0
618.0,225.5
619.0,220.5
620.0,207.2
623.0,168.5
624.0,165.5
625.0,165.5
626.0,165.5
627.0,168.5
628.0,170.0
629.0,175.0
635.0,215.5
636.0,221.5
637.0,223.0
638.0,219.5
639.0,214.0
642.0,145.0
643.0,144.0
644.0,148.0
645.0,151.0
647.0,162.5
648.0,166.5
651.0,170.5
654.0,206.5
655.0,210.5
656.0,216.5
657.0,216.0
658.0,209.5
659.0,203.5
662.0,148.5
663.0,149.5
664.0,152.5
665.0,157.0
666.0,162.5
667.0,167.0
674.0,209.5
675.0,213.0
676.0,219.0
677.0,213.0
678.0,209.0
682.0,163.0
683.0,164.5
686.0,197.5
687.0,202.5
688.0,208.0
690.0,190.0
693.0,199.5
694.0,200.5
695.0,203.5
