x,CO
60.0,183.5
61.0,186.0
62.0,185.5
63.0,185.0
64.0,184.0
65.0,180.5
66.0,177.0
67.0,170.0
68.0,167.5
69.0,171.0
70.0,178.0
71.0,182.5
72.0,183.0
73.0,183.0
74.0,181.0
75.0,177.5
76.0,174.0
77.0,172.0
78.0,170.0
79.0,167.0
80.0,163.0
81.0,160.5
82.0,160.0
83.0,160.5
84.0,162.0
85.0,161.0
86.0,157.5
87.0,154.0
88.0,152.0
89.0,154.5
90.0,159.5
91.0,163.5
92.0,169.5
93.0,175.5
94.0,183.0
95.0,184.5
96.0,185.0
97.0,186.0
98.0,186.0
99.0,184.0
100.0,182.0
101.0,181.0
102.0,182.0
103.0,181.0
104.0,176.5
105.0,168.5
106.0,166.0
107.0,167.5
108.0,172.5
109.0,175.0
110.0,177.0
111.0,177.0
112.0,177.0
113.0,174.0
114.0,169.0
115.0,161.5
116.0,153.5
117.0,148.5
118.0,147.0
119.0,151.0
120.0,156.0
121.0,157.0
122.0,158.5
123.0,159.5
124.0,155.0
125.0,149.0
126.0,148.0
127.0,156.0
128.0,163.5
129.0,176.5
130.0,184.5
131.0,191.5
132.0,191.5
133.0,187.5
134.0,182.5
135.0,178.5
136.0,176.5
137.0,174.5
138.0,174.0
139.0,175.0
140.0,177.0
141.0,177.5
142.0,176.0
143.0,173.0
144.0,168.0
145.0,164.5
146.0,162.0
147.0,163.5
148.0,166.5
149.0,170.0
150.0,172.5
151.0,175.5
152.0,175.5
153.0,168.0
154.0,160.5
155.0,150.5
156.0,147.0
157.0,147.0
158.0,150.5
159.0,154.5
160.0,156.5
161.0,156.0
162.0,154.0
163.0,140.5
164.0,135.0
165.0,132.5
166.0,140.0
167.0,151.0
168.0,160.0
169.0,167.5
170.0,177.0
171.0,181.0
172.0,181.0
173.0,176.0
174.0,172.5
175.0,168.5
176.0,167.0
177.0,167.0
178.0,167.5
179.0,170.0
180.0,171.5
181.0,172.5
182.0,171.5
183.0,169.5
184.0,165.5
185.0,164.5
186.0,165.0
187.0,168.5
188.0,170.5
189.0,173.0
190.0,173.5
191.0,168.5
192.0,167.0
193.0,165.5
194.0,164.5
195.0,163.5
196.0,162.0
197.0,162.0
198.0,165.5
199.0,169.0
200.0,172.0
201.0,172.0
202.0,169.5
203.0,166.0
204.0,165.5
205.0,170.5
206.0,177.0
207.0,185.5
208.0,191.5
209.0,197.0
210.0,197.0
211.0,193.0
212.0,188.0
213.0,185.0
214.0,184.5
215.0,183.5
216.0,182.5
217.0,183.5
218.0,184.5
219.0,184.5
220.0,182.5
221.0,180.5
222.0,174.5
223.0,171.5
224.0,174.0
225.0,184.5
226.0,194.5
227.0,201.0
229.0,204.0
230.0,201.5
231.0,198.0
232.0,195.0
233.0,190.5
234.0,188.5
235.0,187.5
236.0,186.0
237.0,184.5
238.0,184.5
239.0,184.5
240.0,180.0
241.0,168.0
242.0,162.5
243.0,161.0
244.0,168.5
245.0,180.0
246.0,190.0
247.0,197.5
249.0,198.5
250.0,192.0
251.0,186.5
252.0,178.5
253.0,177.0
254.0,178.5
255.0,182.0
256.0,183.0
257.0,181.5
258.0,179.0
259.0,177.5
260.0,174.0
261.0,170.0
262.0,166.0
263.0,165.0
264.0,167.5
265.0,170.0
266.0,169.5
268.0,165.5
269.0,160.0
270.0,153.5
271.0,145.0
272.0,142.5
274.0,136.5
275.0,138.0
277.0,142.5
278.0,146.0
279.0,148.0
280.0,146.0
281.0,144.0
282.0,144.5
283.0,154.0
284.0,162.0
285.0,172.0
286.0,176.0
287.0,177.5
288.0,176.0
289.0,171.0
290.0,165.0
291.0,159.0
292.0,154.5
293.0,152.5
294.0,152.5
295.0,154.5
296.0,157.0
297.0,158.0
298.0,156.5
299.0,153.0
300.0,143.0
301.0,134.5
302.0,125.5
303.0,126.5
304.0,132.5
305.0,142.0
306.0,149.0
307.0,153.0
308.0,152.5
309.0,153.5
310.0,159.0
311.0,170.5
312.0,178.5
313.0,185.5
314.0,188.0
315.0,188.5
316.0,186.0
317.0,183.0
318.0,179.5
319.0,171.5
320.0,164.0
321.0,164.5
322.0,174.5
323.0,188.5
324.0,197.0
325.0,201.5
326.0,203.5
327.0,202.0
328.0,190.0
329.0,180.0
330.0,165.0
331.0,158.0
332.0,154.5
333.0,155.5
334.0,160.0
335.0,163.0
336.0,163.5
337.0,166.0
338.0,168.5
339.0,168.0
340.0,166.5
341.0,171.5
342.0,181.5
343.0,188.5
344.0,194.5
345.0,196.0
346.0,196.0
347.0,192.5
348.0,188.5
349.0,180.0
350.0,174.0
351.0,166.0
352.0,161.5
353.0,161.0
354.0,162.5
355.0,163.5
356.0,166.0
357.0,167.5
358.0,162.5
359.0,155.5
360.0,156.0
361.0,168.5
362.0,181.5
363.0,191.5
364.0,197.5
365.0,200.5
366.0,196.0
367.0,189.0
368.0,170.5
369.0,158.5
370.0,144.0
371.0,141.5
372.0,141.0
373.0,146.5
374.0,155.5
375.0,163.0
376.0,167.5
377.0,168.0
378.0,166.0
379.0,163.5
380.0,164.5
381.0,169.0
382.0,176.5
383.0,182.5
384.0,187.5
385.0,187.5
386.0,182.5
387.0,175.5
388.0,167.5
389.0,161.5
390.0,161.0
391.0,163.5
392.0,164.0
393.0,161.5
394.0,161.0
395.0,162.0
396.0,162.5
397.0,164.0
398.0,161.0
399.0,158.0
400.0,160.5
401.0,168.5
402.0,177.5
403.0,183.0
404.0,186.5
405.0,186.5
406.0,183.0
407.0,181.0
408.0,179.5
409.0,179.0
410.0,178.5
411.0,181.0
412.0,183.0
413.0,184.0
414.0,184.0
415.0,181.0
416.0,174.0
417.0,166.0
418.0,161.5
419.0,163.0
420.0,173.0
421.0,181.0
422.0,189.5
423.0,192.5
424.0,194.0
425.0,190.5
426.0,183.0
427.0,175.0
428.0,168.5
429.0,165.0
430.0,164.5
431.0,166.0
432.0,168.0
433.0,171.0
434.0,173.5
435.0,174.5
436.0,173.0
437.0,170.0
438.0,170.0
439.0,174.0
440.0,181.0
441.0,189.5
442.0,195.5
443.0,197.0
444.0,192.5
445.0,186.5
446.0,182.5
447.0,180.0
448.0,178.5
449.0,178.5
450.0,180.0
451.0,180.0
452.0,179.0
453.0,179.5
454.0,179.0
455.0,176.5
456.0,173.5
457.0,171.5
458.0,173.5
459.0,178.5
460.0,186.0
461.0,193.0
462.0,197.5
463.0,198.0
464.0,195.0
465.0,191.0
466.0,186.5
467.0,183.0
468.0,184.5
469.0,187.5
470.0,191.0
471.0,193.5
472.0,197.0
473.0,198.5
474.0,200.0
475.0,201.0
476.0,203.5
477.0,206.5
478.0,212.0
479.0,216.0
480.0,220.0
481.0,221.5
482.0,220.0
483.0,214.5
484.0,209.0
485.0,203.5
486.0,201.0
487.0,200.5
488.0,199.0
489.0,198.0
490.0,197.5
491.0,198.0
492.0,198.0
493.0,197.5
494.0,195.5
495.0,190.0
496.0,188.0
497.0,191.5
498.0,200.5
499.0,207.5
500.0,212.0
501.0,213.5
502.0,213.0
503.0,210.0
504.0,207.0
505.0,205.5
506.0,205.5
507.0,205.0
508.0,205.5
509.0,207.0
510.0,209.0
511.0,211.5
512.0,212.5
513.0,214.0
514.0,215.5
515.0,216.5
516.0,216.0
517.0,216.5
518.0,218.0
519.0,219.0
520.0,220.5
521.0,221.0
522.0,220.0
523.0,218.0
524.0,216.5
525.0,215.0
526.0,214.0
527.0,213.5
528.0,213.0
529.0,213.0
530.0,215.0
531.0,216.0
532.0,216.0
533.0,214.5
534.0,212.0
535.0,212.0
536.0,215.0
537.0,218.5
538.0,220.0
539.0,221.0
540.0,222.0
541.0,223.0
542.0,221.0
543.0,215.5
544.0,208.5
545.0,204.0
546.0,200.5
547.0,200.0
548.0,204.5
549.0,210.0
550.0,213.5
551.0,213.5
552.0,210.5
553.0,208.0
554.0,206.0
555.0,207.5
556.0,211.5
557.0,215.0
558.0,217.5
559.0,217.5
560.0,213.5
561.0,211.5
562.0,213.5
563.0,214.0
564.0,214.5
565.0,215.5
566.0,216.0
567.0,216.0
568.0,216.5
569.0,216.5
570.0,216.5
571.0,215.0
572.0,212.5
573.0,209.5
574.0,209.5
575.0,211.0
576.0,215.0
577.0,218.0
578.0,219.5
579.0,219.5
580.0,217.5
581.0,216.0
582.0,214.0
583.0,211.0
584.0,209.5
587.0,208.5
588.0,209.5
589.0,211.0
590.0,211.5
591.0,208.5
592.0,205.5
593.0,204.5
594.0,208.0
595.0,212.0
596.0,215.5
597.0,217.5
598.0,217.5
599.0,217.0
600.0,214.5
601.0,210.5
602.0,205.0
603.0,199.5
604.0,195.0
605.0,194.0
606.0,195.5
607.0,197.5
608.0,196.5
609.0,195.0
610.0,193.5
611.0,184.5
612.0,181.0
613.0,183.0
614.0,194.5
615.0,202.5
616.0,208.5
617.0,211.0
618.0,212.0
619.0,209.5
620.0,205.0
621.0,199.5
622.0,193.0
623.0,185.5
624.0,181.5
625.0,180.5
626.0,181.5
627.0,185.5
628.0,188.0
629.0,189.5
630.0,184.5
631.0,177.5
632.0,175.5
633.0,182.0
634.0,191.5
635.0,199.5
636.0,205.0
637.0,207.0
638.0,205.0
639.0,199.5
640.0,189.0
641.0,178.5
642.0,167.0
643.0,158.5
644.0,158.5
645.0,162.0
646.0,166.5
647.0,171.0
648.0,174.0
649.0,172.0
650.0,161.5
651.0,158.5
652.0,162.0
653.0,176.0
654.0,189.5
655.0,196.0
656.0,200.0
657.0,200.5
658.0,198.5
659.0,195.0
660.0,191.5
661.0,186.5
662.0,182.5
663.0,177.5
664.0,174.0
665.0,174.0
666.0,174.0
667.0,175.0
668.0,175.0
669.0,169.5
670.0,164.0
671.0,163.0
672.0,172.5
673.0,184.5
674.0,192.0
675.0,198.5
676.0,201.0
677.0,199.5
678.0,195.5
679.0,187.5
680.0,180.5
681.0,176.0
682.0,174.5
683.0,173.5
684.0,173.0
685.0,177.5
686.0,183.5
687.0,188.5
688.0,189.5
689.0,187.5
690.0,186.5
691.0,187.0
692.0,188.0
693.0,189.5
694.0,191.0
695.0,192.0
696.0,193.0
697.0,191.0
698.0,188.5
699.0,189.0
700.0,192.0
701.0,193.0
702.0,194.0
703.0,194.5
704.0,194.5
705.0,196.5
706.0,198.0
707.0,198.5
708.0,196.5
709.0,195.0
710.0,192.0
711.0,190.5
712.0,191.0
713.0,191.0
714.0,190.0
715.0,189.5
716.0,190.0
717.0,188.5
718.0,187.5
719.0,185.0
720.0,185.5
721.0,189.0
722.0,191.5
723.0,193.0
724.0,192.5
725.0,193.5
726.0,194.5
727.0,194.0
728.0,192.0
729.0,190.0
730.0,189.5
731.0,190.5
732.0,192.5
733.0,195.5
734.0,197.5
735.0,197.0
736.0,195.5
737.0,195.0
738.0,193.5
739.0,194.5
740.0,196.5
741.0,196.5
742.0,195.5
743.0,196.5
744.0,197.5
745.0,197.5
746.0,196.5
747.0,195.0
748.0,193.0
749.0,192.5
750.0,191.5
751.0,191.5
752.0,192.0
753.0,193.0
754.0,193.5
755.0,193.0
756.0,193.5
757.0,194.5
758.0,194.5
