x,O₃
60.0,194.0
61.0,200.0
62.0,207.5
63.0,213.5
64.0,217.0
65.0,224.5
66.0,230.0
67.0,230.0
68.0,219.5
69.0,201.0
70.0,164.5
71.0,145.5
72.0,136.5
73.0,133.5
74.0,140.5
75.0,155.5
76.0,172.07407407407408
77.0,192.0
78.0,209.5
79.0,221.5
80.0,232.5
81.0,235.5
82.0,235.0
83.0,235.5
84.0,236.5
85.0,239.5
86.0,240.0
87.0,240.0
88.0,236.5
89.0,234.5
90.0,229.5
91.0,222.5
92.0,211.0
93.0,201.0
94.0,196.5
95.0,203.5
96.0,209.4
97.0,212.0
98.0,212.0
99.0,211.0
100.0,213.0
101.0,220.0
102.0,224.0
103.0,230.0
104.0,234.5
105.0,237.0
106.0,237.0
107.0,231.5
108.0,225.0
109.0,219.5
110.0,214.5
111.0,208.5
112.0,206.5
113.0,212.0
114.0,222.5
115.0,234.0
116.0,239.5
117.0,240.5
118.0,239.5
119.0,238.5
120.0,238.0
121.0,239.0
122.0,239.0
123.0,238.5
124.0,238.5
125.0,239.5
126.0,237.0
127.0,227.5
128.0,213.0
129.0,199.5
130.0,164.0
131.0,164.5
132.0,165.0
133.0,170.0
134.0,194.5
135.0,195.0
136.0,197.5
137.0,200.0
138.0,201.0
139.0,196.5
140.0,194.5
141.0,199.0
142.0,209.5
143.0,218.5
144.0,227.5
145.0,230.0
146.0,225.5
147.0,214.5
148.0,203.0
149.0,187.5
150.0,174.72727272727272
151.0,166.0
152.0,185.61111111111111
153.0,203.0
154.0,219.5
155.0,235.5
156.0,237.5
157.0,236.5
158.0,234.0
159.0,233.5
160.0,233.0
161.0,234.5
162.0,236.0
163.0,238.0
164.0,237.5
165.0,232.5
166.0,219.5
167.0,201.5
168.0,186.0
169.0,153.5
170.0,152.5
171.0,153.5
172.0,161.5
173.0,189.6315789473684
174.0,196.0
175.0,203.0
176.0,207.0
177.0,214.0
178.0,222.0
179.0,223.5
180.0,221.0
181.0,218.5
182.0,218.5
183.0,222.5
184.0,225.5
185.0,225.0
186.0,220.0
187.0,213.0
188.0,206.0
189.0,203.5
190.0,207.0
191.0,213.5
192.0,223.0
193.0,231.0
194.0,234.5
195.0,236.0
196.0,236.5
197.0,235.5
198.0,234.5
199.0,234.5
200.0,235.5
201.0,237.5
202.0,239.0
203.0,239.0
204.0,234.0
205.0,221.0
206.0,206.5
207.0,169.0
208.0,168.5
209.0,158.0
210.0,163.0
211.0,171.5
212.0,205.8
213.0,212.5
214.0,224.0
215.0,228.0
216.0,231.5
217.0,231.5
218.0,231.0
219.0,232.0
220.0,233.5
221.0,234.0
222.0,236.0
223.0,235.0
224.0,221.5
225.0,213.5
226.0,161.5
227.0,151.0
228.0,143.5
229.0,148.5
230.0,155.5
231.0,171.5
232.0,180.5
233.0,207.55555555555554
234.0,211.5
235.0,215.5
236.0,219.5
237.0,224.5
238.0,226.0
239.0,226.5
240.0,228.5
241.0,233.5
242.0,235.0
243.0,224.5
244.0,208.0
245.0,154.0
246.0,141.5
247.0,118.0
248.0,110.0
249.0,117.0
250.0,140.5
251.0,155.5
252.0,197.0
253.0,197.5
254.0,195.0
255.0,192.0
256.0,198.0
257.0,211.5
258.0,224.5
259.0,229.0
260.0,229.5
262.0,222.5
263.0,217.0
264.0,199.5
265.0,191.5
266.0,185.0
267.0,193.0
268.0,206.0
269.0,223.5
270.0,234.5
274.0,236.0
275.0,232.5
278.0,234.0
279.0,236.5
281.0,238.5
282.0,233.5
283.0,211.0
284.0,196.5
285.0,147.0
286.0,143.0
287.0,141.5
288.0,154.0
289.0,180.27777777777777
290.0,196.0
291.0,215.0
292.0,228.0
293.0,232.0
294.0,231.5
295.0,230.0
296.0,230.0
297.0,230.5
298.0,234.0
299.0,236.5
300.0,239.0
301.0,239.0
302.0,237.5
303.0,235.0
304.0,230.5
305.0,225.0
306.0,222.0
307.0,222.5
308.0,225.0
309.0,225.5
310.0,222.5
311.0,215.0
312.0,211.0
313.0,208.5
314.0,212.5
315.0,218.5
316.0,226.5
317.0,232.5
318.0,237.0
319.0,237.5
320.0,236.0
321.0,213.95744680851064
322.0,207.5
323.0,155.0
324.0,144.0
325.0,128.5
326.0,125.0
327.0,135.0
328.0,149.82926829268294
329.0,208.5
330.0,216.0
331.0,219.5
332.0,221.0
333.0,224.5
334.0,225.5
335.0,224.5
336.0,227.5
337.0,231.0
338.0,234.0
339.0,234.5
340.0,222.5
341.0,209.0
342.0,164.92857142857142
343.0,140.5
344.0,113.5
345.0,105.5
346.0,105.5
347.0,122.5
348.0,141.5
349.0,167.25
350.0,202.0
351.0,216.5
352.0,223.5
353.0,226.0
354.0,227.5
355.0,228.0
356.0,228.5
357.0,230.5
358.0,233.0
359.0,226.5
360.0,207.3125
361.0,176.390243902439
362.0,137.0
363.0,115.0
364.0,105.5
365.0,102.5
366.0,115.5
367.0,134.0
368.0,185.5
369.0,201.5
370.0,216.0
371.0,216.5
372.0,217.0
373.0,221.0
374.0,223.0
375.0,224.0
376.0,224.0
377.0,227.0
378.0,227.0
379.0,221.5
380.0,199.0
381.0,181.5
382.0,142.0
383.0,123.0
384.0,110.5
385.0,111.5
386.0,126.5
387.0,143.5
388.0,186.0
389.0,189.0
390.0,194.5
391.0,194.5
392.0,199.0
393.0,206.5
394.0,215.0
395.0,220.5
396.0,227.5
397.0,230.0
398.0,229.5
399.0,208.5
400.0,196.0810810810811
401.0,133.5
402.0,118.5
403.0,102.5
404.0,103.5
405.0,113.0
406.0,129.0
407.0,141.5
408.0,150.5
409.0,156.5
410.0,164.0
411.0,168.5
412.0,171.5
413.0,173.5
414.0,176.5
415.0,196.5
416.0,207.0
417.0,216.5
418.0,206.0
419.0,194.5
420.0,134.0
421.0,117.5
422.0,99.0
423.0,99.5
424.0,106.0
425.0,123.5
426.0,141.5
427.0,162.5
428.0,189.0
429.0,197.0
430.0,202.5
431.0,206.0
432.0,211.5
433.0,212.0
434.0,211.5
435.0,212.0
436.0,213.0
437.0,209.5
438.0,200.0
439.0,173.44736842105263
440.0,142.5
441.0,118.5
442.0,102.5
443.0,103.5
444.0,116.0
445.0,134.5
446.0,157.0
447.0,168.5
448.0,190.0
449.0,194.0
450.0,195.0
451.0,200.0
452.0,206.0
453.0,212.0
454.0,217.5
455.0,222.5
456.0,221.5
457.0,204.0
458.0,174.22
459.0,147.5
460.0,123.0
461.0,112.0
462.0,107.5
463.0,110.0
464.0,120.0
465.0,139.0
466.0,160.0
467.0,173.0625
468.0,191.0
469.0,193.5
473.0,194.5
474.0,192.0
475.0,188.0
476.0,178.0
477.0,167.0
478.0,155.5
479.0,148.5
480.0,144.0
481.0,138.5
482.0,138.0
483.0,144.5
484.0,156.5
485.0,168.5
486.0,179.0
487.0,187.5
488.0,197.58333333333334
489.0,206.5
490.0,214.0
491.0,215.5
492.0,214.0
493.0,216.5
494.0,220.5
495.0,221.5
496.0,210.5
497.0,171.5
498.0,155.5
499.0,135.5
500.0,124.0
501.0,119.5
502.0,124.5
503.0,138.0
504.0,153.5
505.0,163.0
506.0,166.0
507.0,170.0
508.0,179.0
509.0,182.0
510.0,180.0
511.0,175.0
512.0,170.5
513.0,170.0
514.0,170.0
515.0,169.5
516.0,169.5
517.0,163.5
518.0,156.5
519.0,151.5
520.0,149.0
521.0,150.0
522.0,155.0
523.0,164.0
524.0,172.0
525.0,179.5
526.0,184.5
527.0,189.5
528.0,193.5
529.0,194.0
530.0,190.5
531.0,188.5
532.0,190.5
533.0,195.0
534.0,194.5
535.0,182.5
536.0,165.5
537.0,149.0
538.0,135.0
539.0,126.5
540.0,122.5
541.0,123.5
542.0,140.5
543.0,162.0
544.0,188.0
545.0,196.0
546.0,209.0
547.0,210.5
549.0,191.0
550.0,184.5
551.0,184.0
552.0,190.5
553.0,194.5
554.0,188.0
555.0,178.5
556.0,159.0
557.0,143.5
558.0,132.5
559.0,128.0
560.0,129.5
561.0,136.5
562.0,147.5
563.0,157.5
564.0,163.5
565.0,165.0
566.0,168.0
567.0,170.5
568.0,174.5
569.0,180.0
570.0,188.0
571.0,198.5
572.0,203.5
573.0,203.5
574.0,197.5
575.0,185.0
576.0,167.5
577.0,152.5
578.0,142.0
579.0,139.0
580.0,144.5
581.0,154.5
582.0,167.5
583.0,184.5
584.0,191.5
585.0,197.5
586.0,196.5
587.0,192.0
588.0,189.0
589.0,189.0
590.0,197.5
591.0,210.66666666666666
592.0,216.5
593.0,198.72413793103448
594.0,173.0
595.0,153.0
596.0,133.5
597.0,123.0
598.0,115.5
599.0,115.0
600.0,125.5
601.0,145.5
602.0,170.5
603.0,188.0
604.0,209.0
605.0,210.0
606.0,208.0
607.0,210.0
608.0,217.0
609.0,222.5
610.0,227.5
611.0,230.5
612.0,222.5
613.0,206.72727272727272
614.0,154.5
615.0,137.0
616.0,114.5
617.0,102.5
618.0,100.0
619.0,106.5
620.0,133.5
621.0,157.5
622.0,175.5
623.0,203.0
624.0,208.5
625.0,216.5
626.0,221.5
627.0,227.5
628.0,229.0
629.0,230.5
630.0,232.5
631.0,232.5
632.0,215.0
633.0,193.5897435897436
634.0,146.0
635.0,128.3050847457627
636.0,121.93939393939394
637.0,125.12
638.0,122.9375
639.0,126.5
640.0,140.0
641.0,191.4
642.0,215.5
643.0,221.5
644.0,220.5
645.0,221.5
646.0,190.5
647.0,225.5
648.0,227.5
649.0,229.0
650.0,231.5
651.0,225.5
652.0,209.5
653.0,161.02439024390245
654.0,129.0
655.0,96.5
656.0,81.0
657.0,81.5
658.0,101.5
659.0,120.0
660.0,146.0
661.0,170.6904761904762
662.0,197.5
663.0,215.0
664.0,220.5
665.0,225.5
666.0,227.0
667.0,227.5
668.0,229.0
669.0,232.0
670.0,230.0
671.0,218.5
672.0,174.8360655737705
673.0,127.5
674.0,87.5
675.0,66.0
676.0,55.5
677.0,66.5
678.0,90.5
679.0,127.5
680.0,156.0
681.0,169.5
682.0,177.66666666666666
683.0,180.5
684.0,184.5
685.0,189.0
687.0,179.5
688.0,187.41666666666666
689.0,199.5
690.0,202.5
691.0,197.5
692.0,186.52631578947367
693.0,168.5
694.0,146.5
695.0,126.5
696.0,112.5
697.0,113.5
698.0,132.0
699.0,150.0
700.0,168.0
701.0,175.5
702.0,175.5
703.0,172.0
704.0,170.5
705.0,164.0
706.0,158.0
707.0,157.5
708.0,164.0
709.0,174.0
710.0,182.0
711.0,183.5
712.0,178.5
713.0,173.5
714.0,166.0
715.0,161.0
716.0,159.5
717.0,167.5
718.0,174.0
719.0,190.64285714285714
720.0,196.0
721.0,181.89473684210526
722.0,177.0
723.0,182.0
724.0,186.5
725.0,186.0
726.0,189.0
727.0,191.33333333333334
728.0,199.5
729.0,199.0
730.0,192.75
731.0,185.0
732.0,181.0
733.0,175.0
734.0,171.5
735.0,170.5
736.0,174.0
737.0,178.5
738.0,184.0
739.0,187.5
740.0,189.0
741.0,189.5
742.0,189.0
743.0,187.0
744.0,187.5
745.0,191.0
746.0,199.0
747.0,205.5
748.0,212.5
749.0,214.0
750.0,211.0
751.0,207.0
752.0,204.5
753.0,204.0
754.0,205.6
755.0,212.0
756.0,217.0
757.0,220.5
758.0,222.5
