x,Fe-containing
60.0,203.0
61.0,197.0
62.0,192.0
63.0,187.0
64.0,170.1
65.0,179.5
66.0,178.5
67.0,174.0
68.0,170.5
69.0,176.5
70.0,179.0
71.0,182.5
72.0,187.5
73.0,179.0
74.0,176.5
75.0,180.0
76.0,180.5
77.0,178.0
78.0,178.5
79.0,180.0
80.0,179.5
81.0,163.5
82.0,160.0
83.0,161.5
84.0,162.0
85.0,164.0
86.0,160.6
87.0,144.25
88.0,139.5
95.0,205.5
96.0,204.0
97.0,221.5
98.0,226.0
99.0,229.0
100.0,230.5
101.0,232.5
102.0,233.0
103.0,233.5
104.0,230.0
105.0,227.5
106.0,227.0
107.0,229.5
108.0,233.0
109.0,232.5
110.0,232.5
111.0,230.5
112.0,225.5
113.0,226.0
114.0,224.0
115.0,220.5
116.0,222.0
117.0,221.5
118.0,218.0
119.0,218.0
120.0,220.5
121.0,222.5
122.0,220.0
123.0,215.5
124.0,214.0
125.0,220.0
126.0,224.0
127.0,227.0
128.0,234.0
129.0,236.0
130.0,233.5
131.0,232.0
132.0,228.0
133.0,220.5
134.0,220.0
135.0,218.5
136.0,225.0
137.0,227.5
138.0,225.5
139.0,224.0
140.0,220.0
141.0,221.5
142.0,218.5
143.0,216.0
144.0,218.5
145.0,210.5
146.0,214.0
147.0,222.5
148.0,224.0
149.0,227.0
150.0,226.0
151.0,220.0
152.0,213.5
153.0,211.0
154.0,205.0
155.0,202.0
156.0,196.0
157.0,195.0
158.0,191.5
159.0,190.0
160.0,190.5
161.0,188.5
162.0,163.2173913043478
163.0,159.0
167.0,217.5
168.0,219.0
169.0,223.0
170.0,226.0
171.0,228.5
172.0,230.0
173.0,230.0
174.0,226.0
175.0,217.0
176.0,212.0
177.0,207.5
178.0,208.5
179.0,212.5
180.0,213.5
181.0,200.11111111111111
182.0,181.57142857142858
183.0,175.65384615384616
184.0,190.96875
185.0,202.5
186.0,213.5
187.0,213.0
188.0,212.0
189.0,214.5
190.0,219.0
191.0,221.0
192.0,221.5
193.0,225.5
194.0,224.0
195.0,223.5
196.0,222.5
197.0,228.5
198.0,231.5
199.0,232.5
200.0,232.5
201.0,234.0
202.0,233.0
204.0,221.0
205.0,224.0
206.0,230.0
207.0,224.41666666666666
208.0,226.25
209.0,230.0
210.0,233.5
211.0,234.5
212.0,231.16666666666666
213.0,224.77272727272728
214.0,224.3684210526316
215.0,227.5
216.0,226.0
217.0,226.5
218.0,223.0
219.0,229.0
220.0,232.5
221.0,235.0
222.0,235.0
223.0,235.5
224.0,234.5
225.0,233.5
226.0,232.0
227.0,231.0
228.0,234.0
229.0,235.0
230.0,232.5
231.0,230.5
232.0,227.0
233.0,223.0
234.0,224.0
235.0,225.5
236.0,220.5
237.0,216.5
238.0,212.0
239.0,215.5
240.0,223.5
241.0,225.0
242.0,220.25
243.0,207.5
244.0,205.0
245.0,219.0
246.0,216.0
247.0,214.0
248.0,212.11111111111111
249.0,213.0
250.0,210.5
251.0,198.52173913043478
252.0,197.33333333333334
253.0,190.5
254.0,192.0
255.0,192.375
